Articles	Contributions	Source	Labels
Efficient generation of spatiotemporal relationships from spatial data streams and static data	We design a novel index structure based on R-tree with RRs called R3 index to store spatial objects and support SR generation.	IPM	New Algorithm or Method or Technology
Efficient generation of spatiotemporal relationships from spatial data streams and static data	We evaluate the performance of the proposed approach using real-world datasets and report on the efficiency and effectiveness of the proposed approach.	IPM	Performance Evaluation
Heuristics for interesting class association rule mining a colorectal cancer database	Heuristic operators are proposed for interesting class association rule mining.	IPM	New Algorithm or Method or Technology
Heuristics for interesting class association rule mining a colorectal cancer database	Our proposal remains focused and avoids the exponential curse of other alternatives.	IPM	New Algorithm or Method or Technology
Heuristics for interesting class association rule mining a colorectal cancer database	Generated rule sets are more attractive for the subsequent expert inspection.	IPM	Performance Evaluation
Infection prediction using physiological and social data in social environments	Clinical decision support system was developed for infection diagnosis in nursing homes using small data; AUROC of 0.734 achieved.	IPM	Performance Evaluation
Infection prediction using physiological and social data in social environments	"When considering additional data (social data and weather information), AUROC increases up to 0.798."	IPM	Performance Evaluation
Infection prediction using physiological and social data in social environments	"For diagnosis, smaller leads (historical data) is preferred, but larger leads improve the results when adding social data."	IPM	Performance Evaluation
"Pre-train, Interact, Fine-tune: a novel interaction representation for text classification"	"We propose a novel pipeline for the task of text classification, i.e., Pre-train Interact Fine-tune (PIF)."	IPM	Model Construction
"Pre-train, Interact, Fine-tune: a novel interaction representation for text classification"	"To the best of our knowledge, ours is the first attempt to model word interactions for text representation."	IPM	Model Construction
"Pre-train, Interact, Fine-tune: a novel interaction representation for text classification"	We introduce a two-perspective interaction representation for text classification.	IPM	Theory Proposal
